Root,ExpoLimit
ZB,9999999
ZN,9999999
ZF,9999999
ZT,9999999
FGBX,9999999
FGBL,9999999
FGBM,9999999
FGBS,9999999
FOAT,9999999
FBTP,9999999
R,9999999
I,9999999
L,9999999
FESX,9999999
FDAX,9999999
Z,9999999
GE,9999999
EMD,9999999
NQ,9999999
YM,9999999
6E,9999999
6B,9999999
6A,9999999
6J,9999999
6C,9999999
6S,9999999
6N,9999999
6M,9999999
ES,9999999
RTY,9999999
NIY,9999999
BAX,9999999
CGB,9999999
SXF,9999999
NKD,9999999
CL,9999999
RB,9999999
HO,9999999
NG,9999999
BZ,9999999
HG,9999999
PL,9999999
GC,9999999
SI,9999999
EURGBP,9999999
AUDJPY,9999999
AUDUSD,9999999
EURJPY,9999999
EURNOK,9999999
USDJPY,9999999
USDNOK,9999999
USDPLN,9999999
USDSEK,9999999
EURUSD,9999999
GBPUSD,9999999
NZDUSD,9999999
USDCAD,9999999
USDCHF,9999999
USDZAR,9999999
EURAUD,9999999
EURCAD,9999999
EURCHF,9999999
GBPJPY,9999999
