sublibname,usefx,wnorm,signaltype,volawindowtype
sl3l_currencyfutures_whitendrift,none,none,SV,ENGINE
sl3l_currencyfutures_whitendrift_sw2,none,none,SV,ENGINE
sl3l_currencyfutures_whitendrift_sw3,none,none,SV,ENGINE
slrl_allmodels_SegmentABC_noneregulate_ContinuesContracts_SV_EngineVola,No,No,SV,ENGINE
slrl_allmodels_SegmentABC_regulate_ContinuesContracts_SV_EngineVola,No,Yes,SV,ENGINE
slrl_allmodels_SegmentA_noneregulate_ContinuesContracts_SV_SegmentVola,No,No,SV,SEGMENT
slrl_allmodels_SegmentA_regulate_ContinuesContracts_SV_SegmentVola,No,Yes,SV,SEGMENT
slrl_allmodels_SegmentBC_regulate_ContinuesContracts_SV_EngineVola,No,Yes,SV,ENGINE
slrl_extended_SegmentA_noneregulate_SV_SegmentVola,No,No,SV,SEGMENT
slrl_Static_SegmentABC_noneregulate_SV_EngineVola,No,No,SV,ENGINE
slrl_Static_SegmentABC_regulate_SV_EngineVola,No,Yes,SV,ENGINE
slsl_equityindexfutures_whitendrift,none,none,SV,ENGINE
slsl_eustirscurve_whitendrift,none,none,SV,ENGINE
slsl_fixedincomecurve1_whitendrift,none,none,SV,ENGINE
slsl_fixedincomefutures_whitendrift,none,none,SV,ENGINE
slsl_ukstirscurve_whitendrift,none,none,SV,ENGINE
slsl_usstirscurve_whitendrift,none,none,SV,ENGINE
