sublibname,usefx,wnorm,signaltype,volawindowtype
slsl_fixedincomefutures_whitendrift,none,none,SV,ENGINE
slsl_fixedincomefutures_fbtp,none,none,SV,ENGINE
slsl_equityindexfutures_whitendrift,none,none,SV,ENGINE
sl3l_currencyfutures_whitendrift,none,none,SV,ENGINE
sl3l_currencyfutures_whitendrift_sw2,none,none,SV,ENGINE
slsl_eustirscurve_whitendrift,none,none,SV,ENGINE
slsl_fixedincomecurve1_whitendrift,none,none,SV,ENGINE
slsl_ukstirscurve_whitendrift,none,none,SV,ENGINE
slsl_usstirscurve_whitendrift,none,none,SV,ENGINE
slrl_Static_SegmentABC_noneregulate_SV_EngineVola,No,No,SV,ENGINE
slrl_Static_SegmentABC_noneregulate_SV_EngineVola_TLSr2,No,No,SV,ENGINE
slrl_Static_SegmentABC_noneregulate_SV_EngineVola_TLS2r2,No,No,SV,ENGINE
slrl_Static_SegmentABC_regulate_SV_EngineVola,No,Yes,SV,ENGINE
slrl_Static_SegmentABC2_noneregulate_SV_EngineVola,No,No,SV,ENGINE
slrl_Static_SegmentABC2_regulate_SV_EngineVola,No,Yes,SV,ENGINE
sl3l_fxfulllib,none,none,SV,ENGINE
sl3l_gbpcad_fulllib0900,none,none,SV,ENGINE
sl3l_eurcad_fulllib08000,none,none,SV,ENGINE
sl3l_usdcad_fulllib08000,none,none,SV,ENGINE
sl3l_6C_fulllib0800,none,none,SV,ENGINE
